ZTF19aauguzk 0.053600 Ia
58654.177662 2 19.1548 0.132552
58649.2194213 2 18.7115 0.13938
58646.2241088 2 18.8758 0.111595
58643.2461921 2 18.6482 0.108595
58640.2237616 2 18.6226 0.0886044
58637.1749421 2 18.5939 0.0622922
58634.1818287 2 18.3989 0.0657571
58618.2616667 2 18.2067 0.0616312
58617.245625 2 18.2583 0.0767213
58612.1990509 2 18.9302 0.0817309
