ZTF19aavivbl 0.090000 Ia
58658.4484491 1 20.7261 0.33345
58654.3113773 1 20.261 0.333692
58653.3659722 1 20.223 0.410972
58650.469537 1 19.8333 0.225951
58647.3822222 1 19.5498 0.157218
58644.4299421 1 19.1442 0.0835876
58641.4258333 1 18.967 0.0801157
58638.4564583 1 18.7897 0.0886427
58635.4516319 1 18.8159 0.0919339
58632.4348958 1 18.9701 0.0873516
