ZTF20aaezizk 0.094000 Ia
58903.1749421 2 19.8312 0.138293
58900.2212269 2 20.038 0.143964
58898.1604051 2 19.9 0.194082
58898.1398727 2 19.8345 0.127952
58894.24875 2 19.6662 0.10504
58892.281875 2 19.6915 0.175324
58882.1397338 2 19.2237 0.119363
58878.159919 2 18.9749 0.15153
58875.214213 2 19.0043 0.076736
58873.1723264 2 18.9018 0.0685619
58867.2666782 2 18.9892 0.0771084
58864.2215741 2 19.2236 0.095678
58863.2245486 2 19.2913 0.199937
58862.3088542 2 19.3153 0.143512
58860.2784259 2 19.5862 0.207383
