ZTF19acmelor 0.026612 Ib
58863.0865856 2 19.487 0.178163
58860.1285648 2 19.382 0.226881
58856.1280787 2 19.3617 0.170371
58852.1503472 2 19.7286 0.214668
58847.0757407 2 19.5526 0.158963
58837.0845718 2 19.1609 0.126745
58833.0698843 2 19.1383 0.222344
58812.1718634 2 18.1757 0.094041
58806.2103356 2 18.0988 0.0777206
58803.2309028 2 17.9982 0.0570912
58797.1055671 2 18.1474 0.116001
58792.1469329 2 18.7527 0.123746
