ZTF19acbmxky 0.048000 II
58800.4351157 2 19.3902 0.203158
58799.4473727 2 19.2626 0.221624
58799.378287 2 19.3149 0.223758
58796.5335532 2 19.2309 0.140721
58791.483669 2 19.1819 0.151922
58788.5252431 2 19.1507 0.146469
58785.4981366 2 19.0744 0.133675
58773.5162037 2 18.7105 0.280631
58769.4755556 2 18.4669 0.0912217
58766.5302199 2 18.4399 0.0991493
58756.5164468 2 18.5947 0.0894826
