ZTF19aauplxw 0.087000 Ia
58645.2737269 2 19.5213 0.193226
58642.2526968 2 19.5697 0.117015
58642.2522454 2 19.6952 0.124654
58639.2739352 2 19.4281 0.114168
58636.2104282 2 19.3258 0.0998653
58636.2099769 2 19.3054 0.11878
58633.297419 2 19.2087 0.107901
58633.2958102 2 19.2274 0.0872494
58628.3132292 2 18.9614 0.090121
58619.3165046 2 19.0215 0.189104
58619.3160532 2 19.1367 0.196018
58616.2939815 2 19.3811 0.118192
58616.2935301 2 19.4314 0.12445
