ZTF20aauompx 0.020000 II
58985.4794444 2 18.7937 0.0796154
58980.4769444 2 18.8002 0.0935481
58977.4625463 2 18.6148 0.109163
58974.3698843 2 18.6632 0.101972
58971.403912 2 18.5358 0.0872286
58962.4655324 2 18.5368 0.0801234
58956.5057407 2 18.485 0.0807622
58954.488044 2 18.5598 0.106982
58943.4899306 2 18.856 0.0850949
