ZTF19acxxwiz 0.086000 Ia-91T
58882.1962731 2 19.7893 0.177244
58881.2652431 2 19.7813 0.152139
58880.2890394 2 19.746 0.146313
58879.2912731 2 19.5259 0.192788
58877.266713 2 19.5596 0.125783
58874.2918981 2 19.5106 0.130164
58874.2701389 2 19.3412 0.129052
58873.2245255 2 19.4015 0.131547
58871.3349537 2 19.477 0.14954
58871.2776389 2 19.3595 0.123739
58867.3389815 2 19.3119 0.123395
58864.2145949 2 19.269 0.115434
58861.2998148 2 19.3358 0.214997
58855.3056481 2 18.8929 0.12652
58853.4252662 2 18.7322 0.0759548
58850.4443287 2 18.6764 0.112432
58846.4409375 2 18.6666 0.0858939
58846.4057292 2 18.5965 0.0961611
58838.4362847 2 18.5799 0.217514
58837.4372454 2 18.8474 0.13499
58835.4413426 2 19.0907 0.156988
