ZTF20aaowuim 0.026700 Ia
58965.2111343 1 19.311 0.156069
58964.2014005 1 19.1458 0.140328
58962.2101505 1 19.3016 0.119948
58941.2481019 1 18.4793 0.117034
58939.3101157 1 18.3394 0.149096
58915.2338194 1 16.4254 0.0396367
58914.2319907 1 16.3835 0.0516933
58913.2764699 1 16.3974 0.0416032
58912.2919097 1 16.4096 0.0402527
58911.380463 1 16.4028 0.0438703
58909.2555093 1 16.4844 0.0460968
58908.3150116 1 16.5297 0.0413564
58906.3111111 1 16.7224 0.041781
58905.3110301 1 16.8176 0.0543482
58904.2948495 1 17.0209 0.0576104
58903.3343866 1 17.2167 0.0522609
58900.3348032 1 18.2974 0.102685
