ZTF19aadolpe 0.055000 Ia
58585.1999653 1 20.2119 0.287647
58580.2070023 1 20.6928 0.273899
58575.2763079 1 20.4875 0.191616
58572.2590625 1 20.3676 0.28262
58567.256875 1 20.4152 0.228592
58541.2688542 1 18.9418 0.132796
58538.2800694 1 18.6652 0.145082
58534.2759606 1 18.4942 0.182333
58526.4240972 1 17.9453 0.0735293
58522.4183565 1 17.7236 0.0506976
58511.4577662 1 17.7867 0.0645668
58508.5274884 1 18.1066 0.0826252
58505.438287 1 18.4968 0.163827
