ZTF18abpamut 0.074000 Ia
58381.1748727 1 19.4124 0.167536
58379.1590856 1 19.1517 0.13213
58378.1557176 1 19.042 0.102081
58372.2073843 1 18.5695 0.083457
58369.2255324 1 18.5015 0.0770356
58368.2226852 1 18.4898 0.0849648
58365.2362731 1 18.4627 0.0728286
58365.2358102 1 18.4949 0.0835213
58359.1380787 1 18.9433 0.153129
