ZTF19abmqasg 0.037000 Ia
58756.4968981 2 20.3332 0.215906
58738.5198148 2 19.6185 0.185554
58735.5058796 2 19.4965 0.12523
58732.5031829 2 19.3787 0.103789
58727.5092708 2 19.0183 0.078986
58724.4985417 2 18.8495 0.0917292
58717.4835764 2 18.745 0.111671
58714.4528704 2 18.7749 0.134143
58711.4477894 2 18.6934 0.134391
58705.4743403 2 18.5666 0.0851606
58698.4903125 2 17.9742 0.0627676
