ZTF20aafxrcv 0.180000 Ia
58880.325787 2 20.2273 0.227516
58880.320706 2 20.1335 0.230655
58880.2972338 2 20.2684 0.235632
58878.3306944 2 20.0439 0.255128
58878.3010648 2 20.3021 0.276448
58877.3177083 2 20.2765 0.282216
58877.315787 2 20.0933 0.195222
58877.3109144 2 20.3435 0.229182
58877.3090856 2 20.3466 0.279156
58876.327581 2 20.0671 0.170219
58875.3053472 2 20.087 0.231149
58875.2538773 2 20.1984 0.188806
58874.3243171 2 20.049 0.147137
58874.3232755 2 20.0272 0.140167
58874.2952083 2 20.2435 0.229827
58873.3248727 2 20.2724 0.243937
58873.2836921 2 19.9976 0.143528
58871.3217824 2 20.0276 0.208255
58871.3208681 2 20.0363 0.203046
58871.2919907 2 19.9432 0.195426
58867.3459491 2 19.9823 0.237913
58866.3600116 2 20.199 0.173356
58864.2393634 2 20.0597 0.172247
58862.3291319 2 20.222 0.293678
