ZTF18abnygkb 0.070000 Ia
58375.2852778 1 20.6346 0.213582
58372.2738194 1 19.8974 0.114862
58372.2733681 1 19.8483 0.141863
58369.294213 1 19.5668 0.14154
58369.2770602 1 19.6194 0.107346
58366.253206 1 19.0975 0.0970323
58366.2527546 1 19.0725 0.100669
58363.2979398 1 18.877 0.0912229
58363.2974884 1 18.7671 0.111395
58360.3706481 1 18.7326 0.14086
58360.3701968 1 18.5353 0.104818
58352.3579514 1 19.4312 0.149638
58349.3597454 1 20.3576 0.183837
