ZTF19abgurml 0.041000 II
58760.3519444 1 19.9286 0.197649
58735.3981713 1 19.8631 0.222072
58732.3779745 1 19.7914 0.164598
58724.4192361 1 19.8003 0.152189
58718.4143403 1 19.7703 0.176553
58696.4383565 1 19.3017 0.110305
58693.4211921 1 19.303 0.117478
58690.4603009 1 19.2731 0.112008
58684.4065278 1 19.3306 0.246557
58680.4815856 1 19.7586 0.26637
