ZTF19aalzmiu 0.110000 Ia
58612.3509722 2 20.7421 0.189576
58606.3640625 2 20.5691 0.220443
58593.3059028 2 19.9382 0.291589
58586.3398611 2 19.7459 0.146958
58583.3364468 2 19.518 0.148323
58580.3877199 2 19.6195 0.140013
58580.3669792 2 19.5698 0.124795
58575.4305093 2 19.4531 0.113108
58572.4456597 2 19.3389 0.10022
58567.381331 2 19.0693 0.145556
58560.4030324 2 18.7259 0.0848991
58558.2869213 2 18.8606 0.170424
58556.4284838 2 18.8238 0.081323
