ZTF20aaqpxtm 0.052328 Ia
58985.2799537 2 19.7254 0.127232
58976.2975347 2 19.3796 0.220487
58974.2881829 2 19.2606 0.142904
58973.3247569 2 19.3921 0.151243
58973.2787963 2 19.4478 0.127694
58970.3879745 2 19.2235 0.0829206
58967.349213 2 19.1324 0.099802
58964.4114352 2 19.0603 0.0877549
58961.4274537 2 18.9926 0.102854
58956.3267708 2 18.6106 0.0632376
58955.4289699 2 18.5462 0.0724512
58954.4495486 2 18.4915 0.087737
58943.4690162 2 18.1823 0.0569822
58941.4301505 2 18.1178 0.0717366
58939.4278009 2 18.0836 0.0849922
58936.4211458 2 17.9776 0.0687619
58915.5300694 2 17.7984 0.0584546
58914.5146644 2 17.7099 0.0605579
58913.4644097 2 17.7692 0.0476206
58912.4738889 2 17.8341 0.0517984
58911.4877431 2 17.918 0.0665722
58908.4940278 2 18.3803 0.0637399
58908.4940278 2 18.3803 0.06374
58906.5090509 2 18.7459 0.105671
58904.5187153 2 19.1854 0.122543
58903.5092824 2 19.4415 0.113424
