ZTF19aayfaum 0.011300 Ia
58760.140706 1 19.9702 0.230734
58750.1448032 1 19.7614 0.203509
58747.1338426 1 19.7943 0.179381
58744.1412384 1 19.7642 0.156191
58740.1393866 1 19.6017 0.248623
58737.1407407 1 19.4616 0.192874
58727.1836574 1 19.3602 0.125261
58723.1757755 1 19.4414 0.132906
58718.1841898 1 19.3214 0.122768
58715.1654398 1 19.2227 0.124157
58712.1583102 1 19.1926 0.111073
58709.1606597 1 19.1709 0.137574
58706.1768171 1 19.08 0.137711
58700.2607639 1 18.9724 0.113921
58694.2203704 1 18.6703 0.103595
58684.2227778 1 17.9145 0.0642865
58681.217338 1 17.6366 0.059651
58678.2804282 1 17.3741 0.0571521
58675.3277199 1 17.1814 0.0541482
58672.3203935 1 16.9299 0.0448632
58666.2438889 1 16.5528 0.0403405
58660.3436111 1 16.3661 0.0321461
58657.2443287 1 16.3718 0.0406614
58653.309456 1 16.509 0.051863
58650.4539468 1 16.8097 0.0421097
58647.3509954 1 17.502 0.0624368
58644.3464583 1 18.7982 0.0847576
