ZTF19acxxwiz 0.086000 Ia-91T
58880.2709028 1 20.8081 0.31568
58879.2206019 1 20.5137 0.279321
58877.2316088 1 20.7492 0.357899
58874.3567245 1 20.5909 0.22636
58871.2163889 1 20.2059 0.223632
58867.3892245 1 19.8555 0.177029
58864.2065509 1 19.6615 0.144143
58853.4584838 1 18.8628 0.103733
58850.4226736 1 18.7245 0.123641
58838.4569213 1 18.6678 0.117095
