ZTF19acmxidf 0.014223 Ia
58864.3164352 2 19.0057 0.122458
58859.344537 2 18.6705 0.160464
58851.4398032 2 18.3939 0.0922984
58835.4394444 2 17.6158 0.0725755
58806.4916319 2 16.5826 0.0437754
58803.4341435 2 16.6137 0.0434121
58799.4613889 2 16.7623 0.043632
58792.4864815 2 18.0967 0.11018
58789.5240625 2 19.3685 0.152226
