ZTF18abugthp 0.064430 Ia
58735.3766435 2 19.37 0.19353
58732.4612731 2 19.5136 0.132765
58725.4818634 2 19.0571 0.135759
58722.4818287 2 19.0697 0.125197
58719.4598495 2 18.8509 0.11497
58716.4592361 2 18.6559 0.0914566
58711.4195023 2 18.3983 0.0958743
58707.5009491 2 18.3974 0.0896192
58704.4797685 2 18.571 0.0913437
58695.4798264 2 19.5629 0.141407
58369.3976273 2 19.5316 0.15441
