ZTF19adajqwl 0.070000 Ia
58965.2580208 1 21.04 0.337385
58964.3565856 1 21.0342 0.326449
58963.2948727 1 20.9483 0.346125
58963.2944097 1 20.9128 0.294108
58956.3778009 1 20.8198 0.332835
58955.4001042 1 20.7965 0.391847
58955.3991782 1 20.7847 0.354351
58941.4785185 1 20.6979 0.351477
58936.4656134 1 20.5738 0.274056
58914.4810301 1 20.0992 0.336614
58914.4796065 1 19.9646 0.229861
58911.4298495 1 20.4194 0.244441
58911.4293866 1 20.2386 0.320805
58906.5413542 1 20.1737 0.265166
58903.5241319 1 20.2273 0.236117
58898.4576389 1 19.972 0.170046
58898.4432407 1 19.8251 0.151892
58890.5440625 1 19.6677 0.348924
58887.4774306 1 19.2545 0.181856
58887.4620023 1 19.3775 0.248033
58884.4658449 1 19.2746 0.145537
58884.4644907 1 19.2221 0.157384
58881.5207292 1 19.1333 0.133577
58881.5059606 1 19.0859 0.097191
58878.5254861 1 19.0246 0.120077
58875.4972917 1 18.8835 0.092358
58875.4832407 1 18.827 0.127161
58872.446169 1 18.6217 0.0886
58872.4448032 1 18.6106 0.128892
58864.4630787 1 18.0831 0.0676826
58863.438669 1 18.1098 0.0862599
58861.504919 1 17.9849 0.0924028
58856.5472569 1 17.8122 0.0635627
58856.546794 1 17.8104 0.056993
58853.53875 1 17.7388 0.0430885
58853.538287 1 17.7543 0.0672353
58850.5592708 1 17.6979 0.0469451
58850.5588079 1 17.6981 0.0702953
58838.4857523 1 18.1167 0.265106
