ZTF20aaxuwuh 0.070300 Ia
58985.3086227 1 18.6672 0.0691636
58981.2977894 1 18.6511 0.0841189
58980.4047685 1 18.609 0.0913682
58979.261875 1 18.6963 0.100812
58978.3834491 1 18.6807 0.119715
58977.3567708 1 18.5652 0.15101
58975.2973611 1 19.0803 0.148241
58974.4613542 1 19.1322 0.120287
58972.44875 1 19.5534 0.164747
58971.4215856 1 19.7142 0.163643
58970.4478704 1 20.137 0.191805
58969.3856134 1 19.7574 0.369414
