ZTF19ablekwo 0.090000 Ia
58736.4282986 2 19.5984 0.0938632
58733.4138542 2 19.6683 0.108017
58730.4067245 2 19.6475 0.110462
58724.4050694 2 19.4005 0.103981
58721.3220486 2 19.1416 0.124868
58718.4721759 2 18.9756 0.0928841
58715.3790741 2 18.8041 0.0793505
58712.3986227 2 18.7658 0.0789821
58706.4125 2 18.854 0.0704108
58703.4352662 2 19.0632 0.0728562
58700.4060069 2 19.4359 0.11158
