ZTF19abvgnxg 0.110000 Ia
58763.40125 1 20.3666 0.241331
58759.4085069 1 20.0527 0.151866
58756.4043981 1 19.7082 0.160062
58749.3260301 1 19.0789 0.0906429
58746.3890278 1 19.0068 0.122693
58743.4124306 1 18.7805 0.16852
58739.5135301 1 18.677 0.12855
58736.4643519 1 18.8176 0.0800153
58733.4493519 1 18.8722 0.0760778
58727.4420602 1 19.6867 0.14164
