ZTF19aapafqd 0.032100 II
58697.1976157 1 19.9748 0.18225
58694.2227315 1 19.9283 0.150049
58691.2158102 1 19.7605 0.126409
58688.2050347 1 19.5947 0.133543
58684.1992245 1 19.6302 0.144763
58681.1773727 1 19.434 0.199472
58678.2738889 1 19.4026 0.17547
58675.3203356 1 19.2311 0.13361
58672.3120718 1 19.2526 0.108762
58666.2493634 1 19.0088 0.0810955
58660.201088 1 18.8852 0.0802143
58657.2229745 1 18.8493 0.0869732
58653.3029398 1 18.7884 0.108187
58650.2181134 1 18.6711 0.0996969
58647.2238079 1 18.6706 0.0863947
58644.221412 1 18.5875 0.0929011
58641.2283449 1 18.5741 0.0875788
58638.3418981 1 18.5522 0.0875845
58635.2201736 1 18.5167 0.0687086
58632.350544 1 18.4715 0.0675428
58619.2670833 1 18.4839 0.100511
58616.4501042 1 18.513 0.0789042
58608.2989931 1 18.6716 0.0824635
58600.394213 1 19.2296 0.107363
58596.4573495 1 19.5182 0.202099
58583.3815046 1 20.6132 0.355948
58580.4168403 1 20.9912 0.281178
