ZTF19abzyvfi 0.057000 Ia
58791.3371991 2 19.8131 0.154328
58789.2692477 2 19.6909 0.197423
58788.3428009 2 19.7146 0.18599
58784.3810648 2 19.4564 0.161703
58777.2928588 2 19.2636 0.150533
58774.3144676 2 19.0359 0.199578
58769.4207639 2 18.9868 0.163745
58766.4912037 2 18.9097 0.0873974
58763.3745833 2 18.7458 0.0860303
58759.3725463 2 18.5448 0.0635674
58750.4668056 2 18.4787 0.0651173
58747.4405671 2 18.6127 0.087036
58741.4210069 2 19.6461 0.273935
58738.5052894 2 20.2981 0.252889
