ZTF18acszaiy 0.030000 II
58540.1123264 2 18.618 0.0808292
58510.1114236 2 17.9313 0.088133
58491.1064815 2 17.9131 0.0548281
58487.1190856 2 17.9114 0.0504302
58481.2963889 2 17.902 0.0602742
58475.2962269 2 18.0817 0.0703162
58472.2585069 2 18.214 0.0686827
58462.2745139 2 18.7008 0.158829
58456.2209491 2 19.5097 0.14423
