ZTF19abjibet 0.051500 Ia
58765.1390278 2 19.8282 0.198936
58761.1508681 2 19.8028 0.182416
58758.1594213 2 19.4924 0.157561
58754.1504745 2 19.7434 0.152751
58751.1508565 2 19.6374 0.15438
58750.1532176 2 19.3961 0.127676
58749.1515394 2 19.498 0.147694
58748.1503356 2 19.3916 0.141855
58747.151331 2 19.4529 0.126184
58746.1514815 2 19.4098 0.109389
58745.151713 2 19.3122 0.125068
58744.1516782 2 19.2075 0.0963201
58743.1527662 2 19.2191 0.0893832
58741.1512037 2 19.0576 0.125905
58740.151169 2 19.0993 0.129494
58739.1510069 2 18.9046 0.101242
58736.2793866 2 18.6815 0.117165
58735.2696991 2 18.5598 0.0840587
58734.2711111 2 18.5949 0.0796739
58733.269838 2 18.6372 0.0805618
58732.2702431 2 18.5232 0.0650022
58730.2716898 2 18.461 0.0794638
58727.2955671 2 18.4921 0.0653199
58726.2724884 2 18.4327 0.0728532
58725.2710301 2 18.3908 0.0731431
58724.2959491 2 18.3157 0.063549
58723.2959028 2 18.4058 0.0762256
58722.2725347 2 18.272 0.0704777
58720.2929051 2 18.2612 0.0666529
58719.2727083 2 18.1987 0.0602998
58718.2937616 2 18.231 0.0695922
58717.2720486 2 18.08 0.0580268
58716.2932407 2 18.0038 0.0598049
58715.2721296 2 17.9151 0.0482497
58714.1879398 2 17.8095 0.0465302
58711.1877894 2 17.7331 0.0490212
58710.1879861 2 17.6688 0.0537225
58709.1947801 2 17.6565 0.0593955
58708.1951852 2 17.6782 0.0593369
58707.1938194 2 17.6768 0.0486529
58706.1951389 2 17.7383 0.0535791
58705.194375 2 17.7421 0.0661293
58704.2765741 2 17.7394 0.0483917
58703.2819676 2 17.8051 0.0545894
58702.2801042 2 17.8523 0.0544862
58701.2807176 2 17.8954 0.0893258
58700.2768519 2 18.0227 0.0581357
58699.2803125 2 18.1291 0.0543364
58697.2993634 2 18.4554 0.0593216
58696.2773727 2 18.6289 0.0633911
58693.2160417 2 19.5987 0.185645
