ZTF19abimzvh 0.080000 Ia
58735.4319213 1 20.7002 0.232547
58733.4454745 1 20.8754 0.338594
58727.4042593 1 20.2675 0.150827
58724.4271991 1 19.9689 0.177691
58724.4262731 1 20.0815 0.210142
58718.4039699 1 19.538 0.137181
58718.4035185 1 19.4616 0.128916
58712.4645949 1 19.0735 0.110927
58712.4632292 1 19.0537 0.13408
58709.4749421 1 18.924 0.126145
58709.4714699 1 18.9711 0.100396
58706.4494444 1 18.8043 0.0785037
58706.4476157 1 18.8773 0.094081
58703.4693981 1 18.7696 0.0754912
58703.468044 1 18.8192 0.0823918
58700.4721065 1 18.8148 0.0885381
58699.4458912 1 18.8961 0.0814319
58697.4743634 1 19.0158 0.0826033
58696.4205093 1 19.1026 0.0839855
58694.4464931 1 19.3706 0.0947477
58693.4376389 1 19.4507 0.0995363
58691.4504282 1 20.041 0.160327
58690.4478704 1 20.2338 0.193048
