ZTF19acgjnfz 0.050000 II
58855.5127662 1 20.3353 0.226384
58853.5115394 1 20.3869 0.218775
58852.5059606 1 20.3662 0.196744
58852.4902083 1 20.3827 0.148621
58851.5118171 1 20.1734 0.168329
58851.5094907 1 20.3333 0.283594
58850.5319329 1 20.2718 0.238786
58850.5296528 1 20.3017 0.163841
58849.5156019 1 20.3257 0.14619
58849.5092361 1 20.3841 0.253566
58846.5157755 1 20.3928 0.200779
58846.5116782 1 20.1854 0.145336
58836.5539352 1 20.0557 0.118287
58812.4299421 1 18.8665 0.114302
58812.4285301 1 18.7965 0.0867562
58802.5484259 1 17.9189 0.0643371
58792.5300694 1 17.3508 0.0441279
58790.5398264 1 17.3357 0.0434763
58789.5118403 1 17.3182 0.0461173
58785.4677315 1 17.3585 0.0474697
58779.5143634 1 17.966 0.0657139
58779.5129514 1 17.9648 0.0555559
58776.5320718 1 18.7958 0.125103
