ZTF19acbihxh 0.022000 II
58798.5312963 2 19.7649 0.1872
58793.5208796 2 19.1045 0.127568
58790.5115046 2 18.9427 0.118811
58787.528588 2 19.0191 0.139529
58784.5273495 2 18.847 0.169121
58781.5053356 2 18.7875 0.161723
58770.4964236 2 18.7666 0.123591
58764.4953125 2 18.7565 0.11864
58761.5043519 2 18.6424 0.0921061
58758.5258681 2 18.7295 0.0923341
