ZTF19aamtwwv 0.068600 Ia
58599.1646181 2 19.5009 0.122094
58592.2406366 2 19.2336 0.165514
58589.1994792 2 18.8194 0.204109
58586.2225231 2 18.8937 0.0878133
58583.2634028 2 18.6984 0.083918
58580.2199306 2 18.5252 0.060624
58575.2436227 2 18.2269 0.12966
58572.281331 2 18.3222 0.0627793
58559.2601736 2 19.9783 0.21833
