ZTF20aaifzfk 0.031810 II
58970.4440741 1 20.7162 0.180944
58967.4222222 1 20.5246 0.241719
58965.3990046 1 20.3414 0.185137
58964.3778819 1 20.3968 0.211819
58963.4234259 1 20.5251 0.289884
58963.3787384 1 20.3779 0.182673
58962.3741088 1 20.2998 0.22932
58943.4376505 1 20.2393 0.272862
58914.4823843 1 19.981 0.246291
58906.5237963 1 19.49 0.269971
58903.5254861 1 19.6363 0.136642
58893.4798264 1 19.3587 0.147084
58890.5449653 1 19.2563 0.255251
58886.4987269 1 19.2039 0.121584
58883.4832755 1 19.0525 0.155343
58879.5195023 1 19.0748 0.125919
58876.5398727 1 19.0287 0.084438
58876.5398727 1 19.0239 0.084133
58873.5491551 1 18.9983 0.0783519
