ZTF18abdkimx 0.080000 Ia
58349.2398958 2 20.1111 0.186317
58346.1773495 2 19.8112 0.148646
58339.1579861 2 19.4953 0.138688
58336.2158565 2 19.4406 0.112863
58333.3273495 2 19.2897 0.125653
58330.3214931 2 19.0795 0.110853
58324.2452894 2 18.9204 0.101112
58321.2785069 2 18.8277 0.0805073
58315.2487037 2 18.6276 0.0642699
58308.2459144 2 18.8533 0.0931917
