ZTF20aaurfcm 0.090000 Ia
58987.3399074 2 19.5905 0.12743
58986.4544097 2 19.4109 0.102718
58984.3983218 2 19.4147 0.116621
58983.3621065 2 19.3888 0.11215
58979.338287 2 19.2886 0.130857
58976.3741551 2 19.2682 0.183162
58970.4133681 2 18.7767 0.069613
58967.3835417 2 18.7665 0.0927047
58964.423669 2 18.7231 0.0697926
58961.4552199 2 18.7178 0.0907888
58956.483588 2 18.8493 0.219725
58953.4555787 2 19.3738 0.143691
