ZTF19aanejfr 0.042800 Ia
58617.235162 2 18.7302 0.174487
58617.2132755 2 18.719 0.129721
58609.154838 2 18.201 0.0738249
58609.1543866 2 18.2153 0.08087
58606.1729861 2 18.0915 0.0650754
58606.1725231 2 18.1096 0.0612195
58598.1514236 2 17.9292 0.0584581
58598.1509722 2 17.8697 0.0479375
58592.2289815 2 17.8105 0.0603114
58591.1378356 2 17.7957 0.0562415
58584.1573727 2 17.3763 0.0364254
58584.1564468 2 17.3273 0.049507
58582.2214931 2 17.2669 0.0410388
58581.1538426 2 17.2129 0.0674162
58581.1515741 2 17.2371 0.0574726
58575.1502778 2 17.2512 0.0559601
58575.149375 2 17.2028 0.0567828
58572.2139236 2 17.26 0.0531378
58567.2127083 2 17.7487 0.055623
