ZTF19acuybzx 0.030000 Ia
58871.1931481 1 20.7046 0.264048
58864.1601273 1 20.8973 0.332133
58853.4455903 1 20.0906 0.20479
58846.2353819 1 19.616 0.132314
58836.4109028 1 18.6549 0.089751
58833.5035185 1 18.3823 0.138841
58828.4450347 1 18.2448 0.0842982
58823.427581 1 17.9801 0.12312
58820.2363542 1 18.1477 0.0847366
58811.4195833 1 19.6026 0.135939
