ZTF19acnzkph 0.017000 Ia
58872.1651389 1 20.1599 0.280801
58863.122662 1 19.7655 0.171787
58838.1275926 1 19.1712 0.132999
58835.1276389 1 18.9504 0.165834
58831.1461343 1 18.6323 0.118707
58828.0930787 1 18.5683 0.117347
58820.1704745 1 17.7085 0.0903048
58814.1093056 1 17.2274 0.0868313
58811.1897569 1 17.0931 0.054075
58802.2295139 1 17.1367 0.0351314
58801.1911227 1 17.2828 0.0441013
58798.1690278 1 17.6003 0.0857307
58794.1912037 1 18.65 0.107461
58791.274294 1 19.9391 0.192239
