ZTF18aaxwjmp 0.080000 Ia
58321.2785069 2 19.8876 0.147808
58316.2440509 2 19.7795 0.194886
58315.2487037 2 19.7701 0.154825
58310.3921181 2 19.4622 0.165642
58308.2459144 2 19.4467 0.108608
58299.3430208 2 19.0962 0.153869
58297.3231829 2 18.8811 0.125874
58296.2858449 2 18.9514 0.112088
58293.2556944 2 18.7723 0.114653
58293.2493403 2 18.8838 0.0816771
58290.3315509 2 18.7719 0.0938037
58290.3301505 2 18.8029 0.0788109
58287.2673148 2 18.7144 0.0446974
58287.263588 2 18.768 0.043508
58284.321412 2 18.8218 0.130779
58284.3031713 2 18.8943 0.056277
58281.3417708 2 19.1154 0.0690116
58281.3290394 2 19.0918 0.0568583
58278.3090972 2 19.549 0.09272
58278.3072222 2 19.3279 0.0814929
58275.387037 2 19.8603 0.127691
