ZTF18aauxzle 0.040000 II
58337.1963889 2 19.32 0.123712
58332.2579167 2 19.2252 0.105709
58321.2259375 2 19.1268 0.148019
58301.1795023 2 18.9133 0.110507
58298.3069676 2 18.9434 0.114779
58296.2470023 2 18.8394 0.117265
58295.279537 2 18.7803 0.0833828
58293.2626852 2 18.7533 0.0866544
58292.24375 2 18.6699 0.0752782
58290.2607986 2 18.6393 0.080187
58289.2266782 2 18.7171 0.0694018
58287.2630671 2 18.606 0.0563762
58286.3026157 2 18.603 0.0543574
58284.2828935 2 18.5878 0.0620221
58283.3233565 2 18.6098 0.0533308
58281.2243403 2 18.4439 0.0498557
58279.246956 2 18.5259 0.0528732
58278.260706 2 18.443 0.0525639
58269.25 2 18.7045 0.200348
58266.25 2 18.453 0.0863774
