ZTF19acekreh 0.034890 Ia
58893.5431134 2 20.6561 0.328837
58887.5433796 2 20.4786 0.279545
58886.5579977 2 20.2727 0.292756
58881.5489352 2 20.3275 0.244582
58875.5443056 2 19.9969 0.201428
58873.5309606 2 19.8596 0.217424
58872.56625 2 19.9868 0.204184
58864.5162153 2 19.8163 0.157627
58854.5790278 2 19.1619 0.252788
58854.5715162 2 19.2825 0.264871
58805.0775926 2 17.5481 0.059598
58795.0790972 2 17.2916 0.061591
58792.1128009 2 17.0826 0.0511932
58792.1118981 2 17.0423 0.0587682
58781.0938657 2 16.745 0.0503669
58781.0929514 2 16.6977 0.0397533
58775.0999306 2 17.0206 0.0601586
58775.0957292 2 16.9758 0.0469912
58771.1037153 2 17.7003 0.0545767
58769.0930787 2 18.3419 0.0917412
58768.1240394 2 18.813 0.123562
