ZTF19aakoasy 0.033493 Ia
58633.2286806 1 20.4771 0.209173
58609.2116667 1 20.0876 0.209403
58596.2278241 1 20.1116 0.167227
58585.2266204 1 19.6782 0.164176
58580.2553935 1 19.4136 0.124576
58580.2427431 1 19.5537 0.113531
58572.317419 1 18.8089 0.0855834
58562.1685995 1 17.6444 0.15229
58559.315 1 17.4636 0.0499999
58556.3753356 1 17.1864 0.047409
58546.2902315 1 16.9037 0.0366809
58546.2902315 1 16.9037 0.036681
58543.3123843 1 17.1158 0.0619873
58538.3181597 1 18.1929 0.127954
