ZTF19abbxykm 0.047000 II
58774.1933449 2 19.7486 0.170862
58771.2650231 2 19.8085 0.244156
58763.1667361 2 19.2895 0.0977031
58762.165463 2 19.2473 0.112982
58761.1657176 2 19.2715 0.108713
58760.1667361 2 19.3433 0.109574
58759.2097222 2 19.2799 0.129581
58758.1742824 2 19.1665 0.112617
58754.1652662 2 19.1887 0.0987944
58751.1656366 2 19.0204 0.0983959
58750.1679977 2 19.1568 0.139325
58749.1677199 2 18.9849 0.0985548
58748.1662269 2 18.9986 0.134205
58747.1671065 2 18.8885 0.0994743
58746.1915972 2 18.9648 0.116196
58745.1672222 2 18.9257 0.0927638
58744.1671181 2 18.896 0.0747736
58743.1675 2 18.8685 0.129902
58741.1670718 2 18.7593 0.149117
58740.1669213 2 18.8074 0.165505
58738.1676042 2 18.6825 0.122055
58730.3834491 2 18.5723 0.0764466
58726.304537 2 18.4866 0.0822879
58723.3728009 2 18.3903 0.0660725
58717.3279167 2 18.2304 0.0684159
58714.3727199 2 18.2068 0.072689
58711.3785301 2 18.1287 0.0653488
58708.4854977 2 18.1333 0.0652305
58705.4464931 2 18.0513 0.0525894
58702.3810532 2 18.0205 0.0517444
58696.389537 2 18.0291 0.06443
58693.3915046 2 17.9892 0.0469891
58690.3719213 2 17.9648 0.052057
58686.3578935 2 18.0337 0.0662228
58683.4186458 2 17.9847 0.0603368
58677.2983102 2 18.2227 0.058962
58674.4632986 2 18.3006 0.0641843
58671.4334722 2 18.4006 0.234374
58668.3724653 2 18.9285 0.103525
58665.4413426 2 19.2831 0.104933
58661.4290394 2 19.7129 0.127699
