ZTF19acrenwk 0.078000 Ia
58833.2277083 2 19.9296 0.209776
58819.2540394 2 19.4556 0.252147
58814.2096759 2 19.1326 0.105402
58812.2184259 2 19.1213 0.100985
58811.2987269 2 19.0568 0.107423
58804.2496644 2 18.8151 0.118728
58803.3340856 2 18.8974 0.0955047
58801.2795023 2 18.546 0.213227
58794.3158102 2 19.8535 0.23092
