ZTF18adasisj 0.034000 Ic
58538.124919 2 17.8738 0.0769549
58514.1334722 2 17.9051 0.0480937
58510.2137269 2 17.8205 0.0796102
58507.2160185 2 17.7742 0.0802921
58504.2849074 2 17.9472 0.0919096
58503.2698958 2 17.9243 0.143005
58493.2640162 2 18.0722 0.0671302
58491.2436806 2 18.2243 0.0659212
58490.2068634 2 18.3263 0.0604394
58487.2384259 2 18.6198 0.081342
58482.2174421 2 19.0126 0.133235
