ZTF19abdkdir 0.100000 Ia-91T
58703.4241088 2 19.8688 0.140247
58699.4815394 2 19.6691 0.118763
58696.4822106 2 19.6106 0.111045
58693.4801389 2 19.4965 0.11833
58690.4223611 2 19.3468 0.114841
58683.4403704 2 18.9792 0.123909
58680.4373495 2 18.9802 0.123692
58676.4887153 2 18.9862 0.0847427
58673.4480093 2 19.052 0.0965253
