ZTF19abqwtfu 0.014000 Ic-BL
58873.0930787 2 19.3236 0.19754
58863.0928935 2 19.0048 0.113192
58860.1312847 2 18.8379 0.143737
58854.1229398 2 18.8297 0.125736
58838.0956944 2 18.6285 0.0806488
58835.0886574 2 18.5875 0.20065
58831.0870833 2 18.5487 0.0749077
58828.1286574 2 18.5018 0.149253
58814.1474537 2 18.2786 0.13037
58811.1439005 2 18.217 0.0640326
58806.2293287 2 18.0893 0.053793
58803.2363426 2 18.0647 0.0615401
58800.2639236 2 17.9389 0.0700284
58797.1073843 2 17.9462 0.0886308
58794.1236574 2 17.914 0.0776354
58791.1059838 2 17.8362 0.0512048
58790.1580208 2 17.8487 0.0601762
58788.2139236 2 17.8086 0.0591789
58785.2453704 2 17.7299 0.0548752
58781.2450116 2 17.7006 0.0631302
58777.2057755 2 17.5603 0.0505879
58774.196088 2 17.4957 0.0499034
58771.2687153 2 17.3891 0.0431461
58767.2070718 2 17.2796 0.090696
58764.4029167 2 17.2055 0.0441177
58763.1713426 2 17.1825 0.0421155
58762.1700231 2 17.1367 0.0455984
58761.1702778 2 17.103 0.0536276
58760.1712616 2 17.0699 0.0349546
58758.178831 2 16.981 0.0338556
58754.1696528 2 16.8109 0.0314488
58751.1699769 2 16.6851 0.0343937
58750.172338 2 16.6755 0.0389811
58749.172037 2 16.6055 0.0360025
58748.1705208 2 16.5522 0.037884
58747.1713889 2 16.5009 0.0439074
58746.1960185 2 16.4867 0.0289953
58745.1714815 2 16.465 0.0279191
58744.1713773 2 16.4155 0.031937
58743.1723611 2 16.3756 0.0284837
58741.1712847 2 16.318 0.0346493
58740.1711227 2 16.325 0.0321479
58739.1706944 2 16.3269 0.0279895
58738.1717824 2 16.3077 0.0327627
58736.4007639 2 16.3041 0.0327277
58730.3825347 2 16.5382 0.0351828
58721.314213 2 17.8078 0.0622718
58716.3888079 2 18.7985 0.0892257
