ZTF18abdhsfc 0.067000 Ia-91T
58338.1956597 2 19.7731 0.163537
58333.326331 2 19.4257 0.16345
58330.36625 2 19.4987 0.212142
58329.3473958 2 19.4136 0.170094
58327.3409722 2 19.1122 0.212555
58324.2396991 2 19.3481 0.200896
58321.2808565 2 19.3387 0.143268
58320.2633565 2 19.0973 0.129191
58318.368125 2 18.9474 0.116009
58314.4059375 2 18.7634 0.0904707
58302.3643981 2 18.9456 0.137039
58299.3920833 2 19.0677 0.159155
