ZTF19acordoi 0.089000 Ia-91T
58812.1281713 1 19.0117 0.14011
58811.0997106 1 18.9293 0.129046
58805.0980903 1 18.6944 0.131918
58803.0934375 1 18.5093 0.131966
58802.1732755 1 18.5659 0.106861
58798.1082986 1 18.7138 0.152702
58797.1383102 1 18.7869 0.114347
58796.1381713 1 18.8976 0.159349
58795.133206 1 18.8906 0.145368
58794.1372222 1 18.9997 0.140379
58793.1553819 1 19.2625 0.194533
58792.1949421 1 19.3949 0.208235
