ZTF19aailuvj 0.071000 Ia
58580.4785995 2 20.0464 0.215263
58575.4120718 2 19.7723 0.131286
58572.4568287 2 19.5774 0.14435
58560.4002662 2 19.1747 0.111126
58556.4363657 2 19.113 0.0956886
58547.5190856 2 18.6932 0.0813559
58541.4831829 2 18.4225 0.0591367
58538.4814236 2 18.2438 0.0996402
58526.5087153 2 19.0831 0.122633
58522.5480787 2 20.0071 0.143734
