ZTF19acbwouf 0.030000 II
58875.1344329 1 20.6039 0.297263
58872.1627546 1 20.1445 0.246926
58862.1110185 1 19.6864 0.160156
58859.1043403 1 19.4557 0.222376
58853.0902431 1 19.5345 0.226183
58850.1586458 1 19.4367 0.166322
58846.1002199 1 19.4083 0.128813
58837.1092014 1 19.3698 0.118785
58833.1276157 1 19.3753 0.128938
58812.1589236 1 19.3537 0.1145
58811.1921065 1 19.3119 0.165955
58803.1749306 1 19.2335 0.143708
58802.2195255 1 19.2371 0.154692
58797.2038079 1 19.0299 0.203496
58797.1901157 1 19.1544 0.174503
58796.1806481 1 19.3729 0.258422
58794.2015509 1 19.2547 0.193573
58791.2784491 1 19.2973 0.122776
58791.2032292 1 19.2098 0.142905
58788.1910417 1 19.1777 0.122706
58785.2132292 1 19.1754 0.129595
58764.3579051 1 18.8178 0.0926237
58763.1768519 1 18.7504 0.0941465
58762.1755208 1 18.8011 0.126573
58761.1757639 1 18.8056 0.140368
58760.1767593 1 18.8638 0.115684
58758.1843403 1 18.9488 0.0945671
