ZTF19abgsyrp 0.042000 Ia
58747.2063773 2 19.4337 0.160145
58744.1179745 2 19.2661 0.100842
58723.329213 2 18.4479 0.0586996
58720.3285648 2 18.3615 0.0670428
58717.3101968 2 18.4589 0.0795381
58714.3462153 2 18.2863 0.0815896
58711.2891782 2 18.1791 0.078414
58707.1706597 2 17.891 0.0565542
58703.1870718 2 17.629 0.0461299
58697.1839236 2 17.5936 0.0438292
58694.1944213 2 17.6648 0.0410855
58691.1948148 2 17.8477 0.0471337
58688.3589005 2 18.1097 0.071557
