ZTF19abgprpq 0.050000 Ia
58744.1221759 2 20.2026 0.2049
58732.2290856 2 19.6251 0.175043
58723.3301157 2 19.202 0.115343
58719.3225694 2 18.8675 0.142859
58713.2356829 2 18.716 0.119861
58707.1683449 2 18.5271 0.0860428
58704.1787847 2 18.3798 0.049566
58700.1711921 2 18.0059 0.039204
58697.1844097 2 17.8297 0.0705422
58694.1911921 2 17.7817 0.0544398
58691.1930093 2 17.8456 0.0427012
58684.1747454 2 18.5928 0.0763292
58681.2785764 2 19.5821 0.192916
