ZTF19aayvylv 0.071000 Ia
58706.4703588 1 20.7866 0.264824
58700.4658218 1 20.8662 0.273964
58697.4672338 1 20.6181 0.263101
58694.4417593 1 20.467 0.20686
58688.4727315 1 19.9707 0.207835
58685.4926157 1 19.6977 0.223529
58679.4576852 1 19.1911 0.162976
58676.42875 1 19.0078 0.104067
58673.4710648 1 18.7477 0.0810428
58670.4533218 1 18.5296 0.062999
58667.4471991 1 18.4074 0.0761527
58646.4518519 1 19.5568 0.224421
