ZTF19aaxibpz 0.071000 Ia
58681.4333449 2 19.343 0.130761
58671.4343866 2 18.6069 0.19019
58668.3715509 2 18.7862 0.0768128
58665.4418056 2 18.9151 0.0942883
58661.428125 2 18.6742 0.086823
58658.4130324 2 18.4801 0.0856665
58653.4425 2 18.2285 0.0688629
58650.4254051 2 18.2051 0.0640486
58644.4791782 2 18.2276 0.0678478
58641.4791204 2 18.4887 0.085705
58638.4780787 2 18.758 0.0833089
