ZTF18aasprui 0.038000 Ia
58352.1499769 1 17.4956 0.0521007
58350.2359838 1 17.4129 0.0551417
58349.162037 1 17.3753 0.0472275
58346.1588426 1 17.3992 0.0540694
58346.1569329 1 17.363 0.0448057
58343.1812384 1 17.613 0.0484857
58343.1803009 1 17.5826 0.047843
58337.1810185 1 18.8674 0.0738102
58336.2365972 1 19.2547 0.114076
58334.1878356 1 20.246 0.195638
