ZTF18ablvime 0.140000 Ia
58376.3635764 2 20.7028 0.183557
58373.3253356 2 20.6356 0.192523
58370.4071991 2 20.6799 0.215019
58367.3649074 2 20.4027 0.210903
58355.489213 2 19.6928 0.159232
58352.3267708 2 19.826 0.187623
58349.3474653 2 19.7362 0.126692
58346.4074537 2 19.7351 0.0982791
58343.3699653 2 19.8983 0.112934
58337.3488079 2 20.5534 0.202019
