ZTF20aahfobk 0.033000 Ia
58980.1976042 1 20.1588 0.16768
58968.2809375 1 20.0604 0.197575
58965.2214236 1 20.0884 0.168974
58954.2893981 1 19.7228 0.167014
58939.3282407 1 19.6979 0.248624
58936.2768171 1 19.5194 0.146614
58915.2442014 1 18.8072 0.161158
58914.2398495 1 18.7963 0.203955
58913.3052546 1 18.6566 0.0979469
58912.2845486 1 18.5549 0.0727161
58911.4073958 1 18.4798 0.0980512
58906.2999074 1 17.9636 0.05937
58905.3023727 1 17.8332 0.0732051
58904.3050231 1 17.8055 0.071925
58903.3455671 1 17.7178 0.0573401
58900.3239468 1 17.3877 0.0400406
58899.3860764 1 17.322 0.040261
58898.3895023 1 17.2744 0.035585
58895.2411574 1 16.9336 0.0421754
58894.33 1 16.9275 0.03676
58893.2251736 1 16.8396 0.0420231
58893.2237963 1 16.8442 0.0409405
58891.2231597 1 16.7454 0.0373749
58890.5154282 1 16.7003 0.0504603
58890.5145255 1 16.7246 0.0403538
58888.3085648 1 16.6636 0.0397034
58887.2436458 1 16.6236 0.037195
58886.4655324 1 16.6418 0.0427715
58886.4646296 1 16.6346 0.0443797
58885.4369097 1 16.6541 0.0385348
58884.4562269 1 16.679 0.0328927
58883.4484606 1 16.7141 0.036446
58883.4475579 1 16.7023 0.03306
58881.451331 1 16.8575 0.0348851
58880.4523611 1 16.9552 0.036283
58879.2441898 1 17.0905 0.0514296
58879.243287 1 17.0755 0.0481674
58878.3958912 1 17.2258 0.0479881
58877.3823727 1 17.4398 0.058113
58876.3683912 1 17.6207 0.0467426
58876.3683912 1 17.6298 0.046305
58876.3658796 1 17.6375 0.053103
58876.3658796 1 17.6401 0.053772
58874.3916319 1 18.171 0.106202
58873.3891204 1 18.6577 0.090359
58873.3882176 1 18.6593 0.090476
58871.4118171 1 19.4665 0.143947
