ZTF20aafgbrf 0.030000 Ia
58906.1497106 1 20.0638 0.199454
58906.1364005 1 20.1324 0.281573
58903.1177083 1 19.847 0.161835
58899.2206134 1 19.4172 0.119313
58899.220162 1 19.4095 0.114218
58898.181412 1 19.3524 0.120526
58896.1913426 1 19.0883 0.103904
58895.1516898 1 18.9807 0.0886221
58893.1911574 1 18.8187 0.0768244
58893.1874769 1 18.8198 0.0698884
58890.2327662 1 18.5293 0.115964
58887.2119907 1 18.2743 0.116893
58881.1583218 1 17.9353 0.058736
58880.2498264 1 17.9139 0.0531118
58879.1680093 1 17.8695 0.0572576
58878.2034259 1 17.93 0.0774888
58877.2121296 1 17.8494 0.0532692
58876.1657523 1 17.806 0.0449162
58876.1657523 1 17.8048 0.04542
58874.2025116 1 17.8159 0.096033
58871.1926968 1 17.9967 0.0541689
58867.2217477 1 18.3795 0.0769494
