ZTF19aavnwyt 0.046160 Ia
58679.1988079 2 19.286 0.164851
58676.2015046 2 19.2901 0.162552
58673.1998843 2 18.993 0.131184
58670.1847106 2 18.702 0.104811
58670.1837963 2 18.8668 0.148342
58667.2218056 2 18.6477 0.0892384
58654.18 2 18.163 0.0830014
58654.1785532 2 18.2093 0.077645
58651.2392593 2 17.9695 0.08943
58648.2040509 2 17.7886 0.0726907
58642.218588 2 17.8112 0.0623396
58639.1841898 2 18.1056 0.0721081
58633.1764005 2 19.3507 0.171432
