ZTF18abhqdpv 0.043500 Ia
58376.3411806 2 20.2196 0.171767
58373.2966319 2 20.0358 0.147675
58370.2937847 2 19.9419 0.194532
58367.3164352 2 19.7724 0.167754
58361.3110764 2 19.4063 0.117085
58358.2732986 2 19.3194 0.118505
58355.4209491 2 19.2761 0.159838
58355.3179514 2 19.355 0.137158
58352.3152546 2 19.0757 0.111226
58349.3333796 2 19.1125 0.0884692
58346.3810648 2 19.0149 0.0927653
58343.3518403 2 18.9243 0.0763424
58340.3791204 2 18.8426 0.102721
58337.3515972 2 18.6276 0.0704365
58334.3671296 2 18.5081 0.0764436
58328.4125579 2 18.372 0.0986919
58325.4671296 2 18.3333 0.0811739
58322.4160648 2 18.4982 0.0556776
58319.4432639 2 18.6828 0.0656514
