ZTF19aadolpe 0.055000 Ia
58597.242338 2 20.4103 0.193201
58593.2676273 2 20.0551 0.295399
58583.2610301 2 20.0269 0.184231
58582.2034838 2 19.8977 0.144603
58582.2030324 2 19.9213 0.155313
58580.2241088 2 19.8195 0.134669
58574.2153935 2 19.6012 0.24757
58572.2775579 2 19.6679 0.183495
58567.2504514 2 19.4994 0.120395
58567.2361343 2 19.437 0.103425
58559.2502662 2 19.1143 0.12577
58559.2067014 2 19.1961 0.11908
58558.2065394 2 19.2408 0.160916
58558.1814583 2 19.0923 0.162986
58557.2484144 2 19.0764 0.121309
58540.2541551 2 18.4818 0.0815876
58540.2406829 2 18.4099 0.0816647
58534.3666667 2 18.3107 0.139626
58508.4685764 2 18.2419 0.078565
58505.5069329 2 18.7206 0.182404
58502.529213 2 19.4208 0.185081
