ZTF18aczqzrj 0.042900 Ic
58526.2222338 2 19.5536 0.117014
58522.2119676 2 19.4515 0.114833
58506.4266667 2 18.6628 0.126594
58503.4676852 2 18.5967 0.11831
58491.2551389 2 17.9086 0.0582711
58486.47 2 17.8137 0.0488826
58481.4452662 2 17.9993 0.0547338
58480.4428241 2 18.0845 0.0581612
58476.4330093 2 18.6221 0.0825289
